Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EVG,PPG,SHG,GWG,EVA,PPA,SHA,S,S%,TOI,BLK,HIT,FOW,FOL,FO%,pid,Year,YR_INT
Noel Acciari,29,FLA,C,8,0,0,0,1,0,-0.2,0,0,0,0,0,0,0,7,0.0,121,14,24,40,49,44.9,acciano01,2020-2021,2021
Andrew Agozzino,30,ANA,LW,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,16,6,3,10,8,55.6,agozzan01,2020-2021,2021
Sebastian Aho,23,CAR,F,8,2,6,8,1,4,0.8,2,0,0,1,2,4,0,19,10.5,160,3,4,54,61,47.0,ahose01,2020-2021,2021
Mark Alt,29,LAK,D,2,0,0,0,0,2,0.0,0,0,0,0,0,0,0,3,0.0,27,1,2,0,0,,altma01,2020-2021,2021
Michael Amadio,24,LAK,C,9,0,2,2,-3,0,-0.1,0,0,0,0,1,1,0,9,0.0,115,6,1,32,29,52.5,amadimi01,2020-2021,2021
Joey Anderson,22,TOR,RW,1,0,0,0,1,2,0.0,0,0,0,0,0,0,0,0,,10,3,0,0,1,0.0,anderjo08,2020-2021,2021
Josh Anderson,26,MTL,RW,11,7,2,9,5,10,1.5,6,0,1,2,2,0,0,36,19.4,156,6,26,0,1,0.0,anderjo05,2020-2021,2021
Michael Anderson,21,LAK,D,10,0,1,1,-2,4,0.3,0,0,0,0,1,0,0,4,0.0,214,14,11,0,0,,andermi02,2020-2021,2021
Jaret Anderson-Dolan,21,LAK,C,1,0,0,0,-1,4,-0.1,0,0,0,0,0,0,0,1,0.0,13,0,4,4,4,50.0,anderja01,2020-2021,2021
Lias Andersson,22,LAK,C,7,1,0,1,-2,6,0.0,1,0,0,0,0,0,0,8,12.5,80,1,1,5,11,31.3,anderli01,2020-2021,2021
Rasmus Andersson,24,CGY,D,10,2,3,5,-3,6,0.9,1,1,0,0,1,2,0,19,10.5,211,18,4,0,0,,anderra01,2020-2021,2021
Artem Anisimov,32,OTT,C,4,0,1,1,-3,2,-0.1,0,0,0,0,1,0,0,7,0.0,50,4,3,6,13,31.6,anisiar01,2020-2021,2021
Mason Appleton,25,WPG,C,11,3,4,7,6,4,0.9,3,0,0,0,3,0,1,20,15.0,141,3,12,6,5,54.5,applema01,2020-2021,2021
Josh Archibald,28,EDM,RW,12,2,0,2,-5,4,-0.1,2,0,0,0,0,0,0,12,16.7,149,9,41,0,1,0.0,archijo01,2020-2021,2021
Joel Armia,27,MTL,RW,5,2,3,5,6,2,0.8,1,0,1,0,2,0,1,7,28.6,63,1,7,0,4,0.0,armiajo01,2020-2021,2021
Viktor Arvidsson,27,NSH,LW,11,2,5,7,3,8,0.7,1,1,0,0,4,1,0,39,5.1,194,10,0,1,6,14.3,arvidvi01,2020-2021,2021
Rasmus Asplund,23,BUF,F,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,7,0,0,0,0,,asplura01,2020-2021,2021
Andreas Athanasiou,26,LAK,C,7,3,2,5,0,0,0.7,3,0,0,0,1,1,0,7,42.9,94,3,1,2,0,100.0,athanan01,2020-2021,2021
Cam Atkinson,31,CBJ,RW,12,2,3,5,-6,0,0.1,1,0,1,1,1,2,0,27,7.4,208,6,3,0,3,0.0,atkinca01,2020-2021,2021
Nicolas Aube-Kubel,24,PHI,RW,12,1,2,3,-2,19,0.0,1,0,0,0,2,0,0,8,12.5,135,5,27,0,0,,aubekni01,2020-2021,2021
David Backes,36,ANA,C,4,1,0,1,0,0,0.1,1,0,0,1,0,0,0,13,7.7,59,8,8,30,26,53.6,backeda01,2020-2021,2021
