Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM,pid,Year,YR_INT
Jake Allen,29,STL,24,21.0,12.0,6.0,3.0,48,655.0,607.0,0.927,2.15,2,4.9,1339,14.0,0.667,2.0,81.0,11.23,0,0.0,0.0,0,allenja01,2019-2020,2020
Frederik Andersen,30,TOR,52,52.0,29.0,13.0,7.0,143,1577.0,1434.0,0.909,2.85,3,8.9,3007,27.0,0.519,8.0,100.0,-0.4,0,0.0,0.0,0,anderfr01,2019-2020,2020
Craig Anderson,38,OTT,34,31.0,11.0,17.0,2.0,100,1018.0,918.0,0.902,3.25,0,4.9,1845,14.0,0.452,7.0,109.0,-7.95,0,1.0,1.0,0,andercr01,2019-2020,2020
David Ayres,42,CAR,1,0.0,1.0,0.0,0.0,2,10.0,8.0,0.8,4.18,0,-0.1,29,0.0,,0.0,,,0,0.0,0.0,0,ayresda01,2019-2020,2020
Jonathan Bernier,31,DET,46,41.0,15.0,22.0,3.0,126,1353.0,1227.0,0.907,2.95,1,7.2,2566,17.0,0.415,5.0,103.0,-3.66,0,3.0,3.0,4,bernijo01,2019-2020,2020
Antoine Bibeau,25,COL,2,1.0,1.0,0.0,0.0,5,42.0,37.0,0.8809999999999999,3.27,0,0.1,92,0.0,0.0,0.0,,,0,0.0,0.0,0,bibeaan01,2019-2020,2020
Jordan Binnington,26,STL,50,50.0,30.0,13.0,7.0,126,1430.0,1304.0,0.912,2.56,3,8.4,2948,28.0,0.56,5.0,97.0,3.3,0,1.0,1.0,4,binnijo01,2019-2020,2020
Ben Bishop,33,DAL,44,43.0,21.0,16.0,4.0,103,1286.0,1183.0,0.92,2.5,2,8.7,2474,27.0,0.628,5.0,89.0,13.28,0,2.0,2.0,2,bishobe01,2019-2020,2020
Mackenzie Blackwood,23,NJD,47,43.0,22.0,14.0,8.0,124,1452.0,1328.0,0.915,2.77,3,9.0,2684,22.0,0.512,6.0,94.0,7.29,0,1.0,1.0,0,blackma01,2019-2020,2020
Sergei Bobrovsky,31,FLA,50,48.0,23.0,19.0,6.0,151,1505.0,1354.0,0.9,3.23,1,6.9,2806,20.0,0.41700000000000004,10.0,111.0,-14.91,0,0.0,0.0,0,bobrose01,2019-2020,2020
