,pid,Player,Position,dob,Shoots,height,height_cm,weight,city,state,country
0,aaltoan01,Antti Aalto,C,1975-03-04,Left,6-1,185,210,Lappeenranta,Finland,fi
1,aaltoju01,Juhamatti Aaltonen,RW,1985-06-04,,,,,,,
2,aaltole01,Leevi Aaltonen,RW,2001-01-24,Left,5-8,173,177,Mikkeli,Finland,fi
3,aaltomi01,Miro Aaltonen,C,1993-06-07,Left,6-0,183,176,Joensuu,Finland,fi
4,abbeybr01,Bruce Abbey,D,1951-08-18,Left,6-1,185,185,Toronto,Ontario,ca
5,abbotge01,George Abbott,G,1911-08-03,,5-7,170,153,Sydenham,Ontario,ca
6,abbotre01,Reg Abbott,C,1930-02-04,Left,5-11,180,164,Winnipeg,Manitoba,ca
7,abbotsp01,Spencer Abbott,LW,1988-04-30,Right,5-9,175,170,Hamilton,Ontario,ca
8,abdelju01,Justin Abdelkader,LW,1987-02-25,Left,6-2,188,213,Muskegon,Michigan,us
9,abelcl01,Clarence Abel,D,1900-05-28,Left,6-1,185,225,,,
10,abelge01,Gerry Abel,LW,1944-12-25,Left,6-2,188,168,Detroit,Michigan,us
11,abelsi01,Sid Abel,C/LW,1918-02-22,Left,5-11,180,170,Melville,Saskatchewan,ca
12,abeltko01,Konrad Abeltshauser,D,1992-09-02,,6-5,196,225,,,
13,abergpo01,Pontus Aberg,LW,1993-09-23,Right,5-11,180,196,Stockholm,Sweden,se
14,abgrade01,Dennis Abgrall,RW,1953-04-24,Right,6-1,185,180,Moosomin,Saskatchewan,ca
15,abidra01,Ramzi Abid,LW,1980-03-24,Left,6-2,188,210,Montreal,Quebec,ca
16,abneyca01,Cameron Abney,RW,1991-05-23,,,,,,,
17,abolsro01,Rodrigo Abols,C,1996-01-05,Left,6-4,193,188,Riga,Latvia,lv
18,abrahch01,Christer Abrahamsson,G,1947-04-08,,6-0,183,180,Umea,Sweden,se
19,abrahth01,Thommy Abrahamsson,D,1947-04-08,Left,6-2,188,185,Umea,Sweden,se
20,abrammi01,Mikhail Abramov,C,2001-03-26,Left,5-10,178,161,,,
21,abramvi01,Vitaly Abramov,RW,1998-05-08,Left,5-9,175,171,,,
22,abruzni01,Nicholas Abruzzese,C,1999-06-04,Left,5-9,175,160,,,
23,acciano01,Noel Acciari,C,1991-12-01,Right,5-10,178,203,,,
24,achtyge01,Gene Achtymichuk,C,1932-09-07,Left,5-11,180,170,Lamont,Alberta,ca
25,acombdo01,Doug Acomb,C,1949-05-15,Left,5-11,180,165,Toronto,Ontario,ca
26,actonke01,Keith Acton,C,1958-04-15,Left,5-8,173,170,Stouffville,Ontario,ca
