Year,Name,Category,From,To,GP,G,A,PTS,+/-,PIM,W,L,T/O,SV%,GAA,OPS,DPS,GPS,PS,pid
2020,Ken Holland,Builder,1981,1984,4,0,0,0,0,0,0,2,1,.825,4.96,0.0,0.0,-0.1,-0.1,
2020,Marian Hossa,Player,1998,2017,1309,525,609,1134,245,628,,,,,,110.5,33.6,0.0,144.2,hossama01
2020,Jarome Iginla,Player,1997,2017,1554,625,675,1300,30,1040,,,,,,122.9,35.0,0.0,157.9,iginlja01
2020,Kevin Lowe,Player,1980,1998,1254,84,347,431,260,1498,,,,,,12.4,62.5,0.0,74.9,loweke01
2020,Kim St-Pierre,Player,,,,,,,,,,,,,,,,,,stpieki01
2020,Doug Wilson,Player,1978,1993,1024,237,590,827,55,830,,,,,,56.6,54.0,0.0,110.5,wilsodo01
2019,Guy Carbonneau,Player,1981,2000,1318,260,403,663,186,820,,,,,,21.0,23.4,0.0,44.4,carbogu01
2019,Vaclav Nedomansky,Player,1978,1983,421,122,156,278,-94,88,,,,,,13.4,4.0,0.0,17.4,nedomva01
2019,Jim Rutherford,Builder,1971,1983,457,0,15,15,0,62,151,227,59,.879,3.66,0.0,0.0,58.8,58.8,
2019,Hayley Wickenheiser,Player,,,,,,,,,,,,,,,,,,wickeha01
2019,Jerry York,Builder,,,,,,,,,,,,,,,,,,
2019,Sergei Zubov,Player,1993,2009,1068,152,619,771,148,337,,,,,,62.7,74.1,0.0,136.8,zubovse01
2018,Gary Bettman,Builder,,,,,,,,,,,,,,,,,,
2018,Martin Brodeur,Player,1992,2015,1266,2,45,47,0,122,691,397,154,.912,2.24,0.0,0.0,207.0,207.0,brodema01
2018,Jayna Hefford,Player,,,,,,,,,,,,,,,,,,heffoja01
2018,Willie O'Ree,Builder,1958,1961,45,4,10,14,-18,26,,,,,,-0.4,0.4,0.0,0.0,
2018,Martin St. Louis,Player,1999,2015,1134,391,642,1033,37,310,,,,,,87.9,27.0,0.0,114.8,stlouma01
2018,Alexander Yakushev,Player,,,,,,,,,,,,,,,,,,yakusal01
2017,Dave Andreychuk,Player,1983,2006,1639,640,698,1338,32,1121,,,,,,98.8,25.6,0.0,124.4,andreda01
2017,Clare Drake,Builder,,,,,,,,,,,,,,,,,,
2017,Danielle Goyette,Player,,,,,,,,,,,,,,,,,,goyetda01
2017,Jeremy Jacobs,Builder,,,,,,,,,,,,,,,,,,
2017,Paul Kariya,Player,1995,2010,989,402,587,989,31,399,,,,,,86.2,23.1,0.0,109.3,kariypa01
2017,Mark Recchi,Player,1989,2011,1652,577,956,1533,0,1033,,,,,,120.0,27.5,0.0,147.5,recchma01
2017,Teemu Selanne,Player,1993,2014,1451,684,773,1457,95,660,,,,,,142.9,29.4,0.0,172.3,selante01
2016,Eric Lindros,Player,1993,2007,760,372,493,865,215,1398,,,,,,81.7,20.0,0.0,101.6,lindrer01
2016,Sergei Makarov,Player,1990,1997,424,134,250,384,67,317,,,,,,24.5,6.6,0.0,31.1,makarse01
2016,Pat Quinn,Builder,1969,1977,606,18,113,131,-6,952,,,,,,0.4,33.8,0.0,34.2,
2016,Rogie Vachon,Player,1967,1982,795,0,10,10,0,47,353,293,128,.896,3.00,0.0,0.0,144.4,144.4,vachoro01
2015,Sergei Fedorov,Player,1991,2009,1248,483,696,1179,261,839,,,,,,96.0,29.6,0.0,125.6,fedorse01
2015,Bill Hay,Builder,,,,,,,,,,,,,,,,,,
2015,Phil Housley,Player,1983,2003,1495,338,894,1232,-53,822,,,,,,96.8,73.9,0.0,170.7,houslph01
2015,Peter Karmanos Jr.,Builder,,,,,,,,,,,,,,,,,,
2015,Nicklas Lidstrom,Player,1992,2012,1564,264,878,1142,450,514,,,,,,98.1,113.6,0.0,211.8,lidstni01
2015,Chris Pronger,Player,1994,2012,1167,157,541,698,183,1590,,,,,,55.7,83.7,0.0,139.4,prongch01
