Team,Name,Age,Pos,Birthplace,Nat.,YR_INT,pid
Anaheim Ducks,Ryan Getzlaf,34.0,C,"Regina, SK",CA,2020,getzlry01
Arizona Coyotes,Oliver Ekman-Larsson,28.0,D,Karlskrona,SE,2020,ekmanol01
Boston Bruins,Zdeno Chara,42.0,D,Trencin,CS,2020,charazd01
Buffalo Sabres,Jack Eichel,23.0,C,"North Chelmsford, MA",US,2020,eicheja01
Calgary Flames,Mark Giordano,36.0,D,"Toronto, ON",CA,2020,giordma01
Carolina Hurricanes,Jordan Staal,31.0,C,"Thunder Bay, ON",CA,2020,staaljo01
Chicago Blackhawks,Jonathan Toews,31.0,C,"Winnipeg, MB",CA,2020,toewsjo01
Colorado Avalanche,Gabriel Landeskog,27.0,LW,Stockholm,SE,2020,landega01
Columbus Blue Jackets,Nick Foligno,32.0,LW,"Buffalo, NY",US,2020,foligni01
Dallas Stars,Jamie Benn,30.0,LW,"Victoria, BC",CA,2020,bennja01
Detroit Red Wings,No Captain,,,,,2020,
Edmonton Oilers,Connor McDavid,23.0,C,"Richmond Hill, ON",CA,2020,mcdavco01
Florida Panthers,Aleksander Barkov,24.0,C,Tampere,FI,2020,barkoal01
Los Angeles Kings,Anze Kopitar,32.0,C,Jesenice,SI,2020,kopitan01
Minnesota Wild,Mikko Koivu,36.0,C,Turku,FI,2020,koivumi01
Montreal Canadiens,Shea Weber,34.0,D,"Sicamous, BC",CA,2020,webersh01
Nashville Predators,Roman Josi,29.0,D,Bern,CH,2020,josiro01
New Jersey Devils,No Captain,,,,,2020,
New York Islanders,Anders Lee,29.0,LW,"Edina, MN",US,2020,leean01
New York Rangers,No Captain,,,,,2020,
Ottawa Senators,No Captain,,,,,2020,
Philadelphia Flyers,Claude Giroux,32.0,C/LW,"Hearst, ON",CA,2020,giroucl01
Pittsburgh Penguins,Sidney Crosby,32.0,C,"Cole Harbour, NS",CA,2020,crosbsi01
San Jose Sharks,Logan Couture,30.0,C,"Guelph, ON",CA,2020,coutulo01
St. Louis Blues,Alex Pietrangelo,30.0,D,"King City, ON",CA,2020,pietral01
Tampa Bay Lightning,Steven Stamkos,29.0,C,"Markham, ON",CA,2020,stamkst01
Toronto Maple Leafs,John Tavares,29.0,C,"Mississauga, ON",CA,2020,tavarjo01
Vancouver Canucks,Bo Horvat,24.0,C,"London, ON",CA,2020,horvabo01
Vegas Golden Knights,No Captain,,,,,2020,
Washington Capitals,Alex Ovechkin,34.0,LW,Moscow,SU,2020,ovechal01
Winnipeg Jets,Blake Wheeler,33.0,RW,"Plymouth, MN",US,2020,wheelbl01
Anaheim Ducks,Ryan Getzlaf,33.0,C,"Regina, SK",CA,2019,getzlry01
Arizona Coyotes,Oliver Ekman-Larsson,27.0,D,Karlskrona,SE,2019,ekmanol01
Boston Bruins,Zdeno Chara,41.0,D,Trencin,CS,2019,charazd01
Buffalo Sabres,Jack Eichel,22.0,C,"North Chelmsford, MA",US,2019,eicheja01
Calgary Flames,Mark Giordano,35.0,D,"Toronto, ON",CA,2019,giordma01
Carolina Hurricanes,Justin Williams,37.0,RW,"Cobourg, ON",CA,2019,williju01
Chicago Blackhawks,Jonathan Toews,30.0,C,"Winnipeg, MB",CA,2019,toewsjo01
Colorado Avalanche,Gabriel Landeskog,26.0,LW,Stockholm,SE,2019,landega01
Columbus Blue Jackets,Nick Foligno,31.0,LW,"Buffalo, NY",US,2019,foligni01
Dallas Stars,Jamie Benn,29.0,LW,"Victoria, BC",CA,2019,bennja01
Detroit Red Wings,No Captain,,,,,2019,
Edmonton Oilers,Connor McDavid,22.0,C,"Richmond Hill, ON",CA,2019,mcdavco01
Florida Panthers,Aleksander Barkov,23.0,C,Tampere,FI,2019,barkoal01
Los Angeles Kings,Anze Kopitar,31.0,C,Jesenice,SI,2019,kopitan01
Minnesota Wild,Mikko Koivu,35.0,C,Turku,FI,2019,koivumi01
Montreal Canadiens,Shea Weber,33.0,D,"Sicamous, BC",CA,2019,webersh01
Nashville Predators,Roman Josi,28.0,D,Bern,CH,2019,josiro01
New Jersey Devils,Andy Greene,36.0,D,"Trenton, MI",US,2019,greenan01
New York Islanders,Anders Lee,28.0,LW,"Edina, MN",US,2019,leean01
New York Rangers,No Captain,,,,,2019,
Ottawa Senators,No Captain,,,,,2019,
Philadelphia Flyers,Claude Giroux,31.0,C/LW,"Hearst, ON",CA,2019,giroucl01
Pittsburgh Penguins,Sidney Crosby,31.0,C,"Cole Harbour, NS",CA,2019,crosbsi01
San Jose Sharks,Joe Pavelski,34.0,C,"Plover, WI",US,2019,paveljo01
St. Louis Blues,Alex Pietrangelo,29.0,D,"King City, ON",CA,2019,pietral01
Tampa Bay Lightning,Steven Stamkos,28.0,C,"Markham, ON",CA,2019,stamkst01
Toronto Maple Leafs,No Captain,,,,,2019,
Vancouver Canucks,No Captain,,,,,2019,
Vegas Golden Knights,No Captain,,,,,2019,
Washington Capitals,Alex Ovechkin,33.0,LW,Moscow,SU,2019,ovechal01
Winnipeg Jets,Blake Wheeler,32.0,RW,"Plymouth, MN",US,2019,wheelbl01
Anaheim Ducks,Ryan Getzlaf,32.0,C,"Regina, SK",CA,2018,getzlry01
Arizona Coyotes,No Captain,,,,,2018,
Boston Bruins,Zdeno Chara,40.0,D,Trencin,CS,2018,charazd01
Buffalo Sabres,No Captain,,,,,2018,
Calgary Flames,Mark Giordano,34.0,D,"Toronto, ON",CA,2018,giordma01
Carolina Hurricanes,Jordan Staal,29.0,C,"Thunder Bay, ON",CA,2018,staaljo01
Carolina Hurricanes,Justin Faulk,25.0,D,"South St. Paul, MN",US,2018,faulkju01
Chicago Blackhawks,Jonathan Toews,29.0,C,"Winnipeg, MB",CA,2018,toewsjo01
Colorado Avalanche,Gabriel Landeskog,25.0,LW,Stockholm,SE,2018,landega01
Columbus Blue Jackets,Nick Foligno,30.0,LW,"Buffalo, NY",US,2018,foligni01
Dallas Stars,Jamie Benn,28.0,LW,"Victoria, BC",CA,2018,bennja01
Detroit Red Wings,Henrik Zetterberg,37.0,LW,Njurunda,SE,2018,zettehe01
Edmonton Oilers,Connor McDavid,21.0,C,"Richmond Hill, ON",CA,2018,mcdavco01
Florida Panthers,Derek MacKenzie,36.0,C,"Sudbury, ON",CA,2018,mackede01
Los Angeles Kings,Anze Kopitar,30.0,C,Jesenice,SI,2018,kopitan01
Minnesota Wild,Mikko Koivu,34.0,C,Turku,FI,2018,koivumi01
Montreal Canadiens,Max Pacioretty,29.0,LW,"New Canaan, CT",US,2018,pacioma01
Nashville Predators,Roman Josi,27.0,D,Bern,CH,2018,josiro01
New Jersey Devils,Andy Greene,35.0,D,"Trenton, MI",US,2018,greenan01
New York Islanders,John Tavares,27.0,C,"Mississauga, ON",CA,2018,tavarjo01
New York Rangers,Ryan McDonagh,28.0,D,"St. Paul, MN",US,2018,mcdonry01
Ottawa Senators,Erik Karlsson,27.0,D,Landsbro,SE,2018,karlser01
Philadelphia Flyers,Claude Giroux,30.0,C/LW,"Hearst, ON",CA,2018,giroucl01
Pittsburgh Penguins,Sidney Crosby,30.0,C,"Cole Harbour, NS",CA,2018,crosbsi01
San Jose Sharks,Joe Pavelski,33.0,C,"Plover, WI",US,2018,paveljo01
St. Louis Blues,Alex Pietrangelo,28.0,D,"King City, ON",CA,2018,pietral01
Tampa Bay Lightning,Steven Stamkos,27.0,C,"Markham, ON",CA,2018,stamkst01
Toronto Maple Leafs,No Captain,,,,,2018,
Vancouver Canucks,Henrik Sedin,37.0,C,Ornskoldsvik,SE,2018,sedinhe01
Vegas Golden Knights,No Captain,,,,,2018,
Washington Capitals,Alex Ovechkin,32.0,LW,Moscow,SU,2018,ovechal01
Winnipeg Jets,Blake Wheeler,31.0,RW,"Plymouth, MN",US,2018,wheelbl01
Anaheim Ducks,Ryan Getzlaf,31.0,C,"Regina, SK",CA,2017,getzlry01
Arizona Coyotes,Shane Doan,40.0,RW,"Halkirk, AB",CA,2017,doansh01
Boston Bruins,Zdeno Chara,39.0,D,Trencin,CS,2017,charazd01
Buffalo Sabres,Brian Gionta,38.0,RW,"Rochester, NY",US,2017,giontbr01
Calgary Flames,Mark Giordano,33.0,D,"Toronto, ON",CA,2017,giordma01
Carolina Hurricanes,No Captain,,,,,2017,
Chicago Blackhawks,Jonathan Toews,28.0,C,"Winnipeg, MB",CA,2017,toewsjo01
Colorado Avalanche,Gabriel Landeskog,24.0,LW,Stockholm,SE,2017,landega01
Columbus Blue Jackets,Nick Foligno,29.0,LW,"Buffalo, NY",US,2017,foligni01
Dallas Stars,Jamie Benn,27.0,LW,"Victoria, BC",CA,2017,bennja01
Detroit Red Wings,Henrik Zetterberg,36.0,LW,Njurunda,SE,2017,zettehe01
Edmonton Oilers,Connor McDavid,20.0,C,"Richmond Hill, ON",CA,2017,mcdavco01
Florida Panthers,Derek MacKenzie,35.0,C,"Sudbury, ON",CA,2017,mackede01
Los Angeles Kings,Anze Kopitar,29.0,C,Jesenice,SI,2017,kopitan01
Minnesota Wild,Mikko Koivu,33.0,C,Turku,FI,2017,koivumi01
Montreal Canadiens,Max Pacioretty,28.0,LW,"New Canaan, CT",US,2017,pacioma01
Nashville Predators,Mike Fisher,36.0,C,"Peterborough, ON",CA,2017,fishemi01
New Jersey Devils,Andy Greene,34.0,D,"Trenton, MI",US,2017,greenan01
New York Islanders,John Tavares,26.0,C,"Mississauga, ON",CA,2017,tavarjo01
New York Rangers,Ryan McDonagh,27.0,D,"St. Paul, MN",US,2017,mcdonry01
Ottawa Senators,Erik Karlsson,26.0,D,Landsbro,SE,2017,karlser01
Philadelphia Flyers,Claude Giroux,29.0,C/LW,"Hearst, ON",CA,2017,giroucl01
Pittsburgh Penguins,Sidney Crosby,29.0,C,"Cole Harbour, NS",CA,2017,crosbsi01
San Jose Sharks,Joe Pavelski,32.0,C,"Plover, WI",US,2017,paveljo01
St. Louis Blues,Alex Pietrangelo,27.0,D,"King City, ON",CA,2017,pietral01
Tampa Bay Lightning,Steven Stamkos,26.0,C,"Markham, ON",CA,2017,stamkst01
Toronto Maple Leafs,No Captain,,,,,2017,
Vancouver Canucks,Henrik Sedin,36.0,C,Ornskoldsvik,SE,2017,sedinhe01
Washington Capitals,Alex Ovechkin,31.0,LW,Moscow,SU,2017,ovechal01
Winnipeg Jets,Blake Wheeler,30.0,RW,"Plymouth, MN",US,2017,wheelbl01
Anaheim Ducks,Ryan Getzlaf,30.0,C,"Regina, SK",CA,2016,getzlry01
Arizona Coyotes,Shane Doan,39.0,RW,"Halkirk, AB",CA,2016,doansh01
Boston Bruins,Zdeno Chara,38.0,D,Trencin,CS,2016,charazd01
Buffalo Sabres,Brian Gionta,37.0,RW,"Rochester, NY",US,2016,giontbr01
Calgary Flames,Mark Giordano,32.0,D,"Toronto, ON",CA,2016,giordma01
Carolina Hurricanes,Eric Staal,31.0,C,"Thunder Bay, ON",CA,2016,staaler01
Chicago Blackhawks,Jonathan Toews,27.0,C,"Winnipeg, MB",CA,2016,toewsjo01
Colorado Avalanche,Gabriel Landeskog,23.0,LW,Stockholm,SE,2016,landega01
Columbus Blue Jackets,Nick Foligno,28.0,LW,"Buffalo, NY",US,2016,foligni01
Dallas Stars,Jamie Benn,26.0,LW,"Victoria, BC",CA,2016,bennja01
Detroit Red Wings,Henrik Zetterberg,35.0,LW,Njurunda,SE,2016,zettehe01
Edmonton Oilers,No Captain,,,,,2016,
Florida Panthers,Willie Mitchell,38.0,D,"Port McNeill, BC",CA,2016,mitchwi01
Los Angeles Kings,Dustin Brown,31.0,RW,"Ithaca, NY",US,2016,browndu01
Minnesota Wild,Mikko Koivu,32.0,C,Turku,FI,2016,koivumi01
Montreal Canadiens,Max Pacioretty,27.0,LW,"New Canaan, CT",US,2016,pacioma01
Nashville Predators,Shea Weber,30.0,D,"Sicamous, BC",CA,2016,webersh01
New Jersey Devils,Andy Greene,33.0,D,"Trenton, MI",US,2016,greenan01
New York Islanders,John Tavares,25.0,C,"Mississauga, ON",CA,2016,tavarjo01
New York Rangers,Ryan McDonagh,26.0,D,"St. Paul, MN",US,2016,mcdonry01
Ottawa Senators,Erik Karlsson,25.0,D,Landsbro,SE,2016,karlser01
Philadelphia Flyers,Claude Giroux,28.0,C/LW,"Hearst, ON",CA,2016,giroucl01
Pittsburgh Penguins,Sidney Crosby,28.0,C,"Cole Harbour, NS",CA,2016,crosbsi01
San Jose Sharks,Joe Pavelski,31.0,C,"Plover, WI",US,2016,paveljo01
St. Louis Blues,David Backes,31.0,C,"Minneapolis, MN",US,2016,backeda01
Tampa Bay Lightning,Steven Stamkos,25.0,C,"Markham, ON",CA,2016,stamkst01
Toronto Maple Leafs,Dion Phaneuf,30.0,D,"Edmonton, AB",CA,2016,phanedi01
Vancouver Canucks,Henrik Sedin,35.0,C,Ornskoldsvik,SE,2016,sedinhe01
Washington Capitals,Alex Ovechkin,30.0,LW,Moscow,SU,2016,ovechal01
Winnipeg Jets,Andrew Ladd,30.0,LW,"Maple Ridge, BC",CA,2016,laddan01
Anaheim Ducks,Ryan Getzlaf,29.0,C,"Regina, SK",CA,2015,getzlry01
Arizona Coyotes,Shane Doan,38.0,RW,"Halkirk, AB",CA,2015,doansh01
Boston Bruins,Zdeno Chara,37.0,D,Trencin,CS,2015,charazd01
Buffalo Sabres,Brian Gionta,36.0,RW,"Rochester, NY",US,2015,giontbr01
Calgary Flames,Mark Giordano,31.0,D,"Toronto, ON",CA,2015,giordma01
Carolina Hurricanes,Eric Staal,30.0,C,"Thunder Bay, ON",CA,2015,staaler01
Chicago Blackhawks,Jonathan Toews,26.0,C,"Winnipeg, MB",CA,2015,toewsjo01
Colorado Avalanche,Gabriel Landeskog,22.0,LW,Stockholm,SE,2015,landega01
Columbus Blue Jackets,No Captain,,,,,2015,
Dallas Stars,Jamie Benn,25.0,LW,"Victoria, BC",CA,2015,bennja01
Detroit Red Wings,Henrik Zetterberg,34.0,LW,Njurunda,SE,2015,zettehe01
Edmonton Oilers,Andrew Ference,35.0,D,"Edmonton, AB",CA,2015,ferenan01
Florida Panthers,Willie Mitchell,37.0,D,"Port McNeill, BC",CA,2015,mitchwi01
Los Angeles Kings,Dustin Brown,30.0,RW,"Ithaca, NY",US,2015,browndu01
Minnesota Wild,Mikko Koivu,31.0,C,Turku,FI,2015,koivumi01
Montreal Canadiens,No Captain,,,,,2015,
Nashville Predators,Shea Weber,29.0,D,"Sicamous, BC",CA,2015,webersh01
New Jersey Devils,Bryce Salvador,38.0,D,"Brandon, MB",CA,2015,salvabr01
New York Islanders,John Tavares,24.0,C,"Mississauga, ON",CA,2015,tavarjo01
New York Rangers,Ryan McDonagh,25.0,D,"St. Paul, MN",US,2015,mcdonry01
Ottawa Senators,Erik Karlsson,24.0,D,Landsbro,SE,2015,karlser01
Philadelphia Flyers,Claude Giroux,27.0,C/LW,"Hearst, ON",CA,2015,giroucl01
Pittsburgh Penguins,Sidney Crosby,27.0,C,"Cole Harbour, NS",CA,2015,crosbsi01
San Jose Sharks,No Captain,,,,,2015,
St. Louis Blues,David Backes,30.0,C,"Minneapolis, MN",US,2015,backeda01
Tampa Bay Lightning,Steven Stamkos,24.0,C,"Markham, ON",CA,2015,stamkst01
Toronto Maple Leafs,Dion Phaneuf,29.0,D,"Edmonton, AB",CA,2015,phanedi01
Vancouver Canucks,Henrik Sedin,34.0,C,Ornskoldsvik,SE,2015,sedinhe01
Washington Capitals,Alex Ovechkin,29.0,LW,Moscow,SU,2015,ovechal01
Winnipeg Jets,Andrew Ladd,29.0,LW,"Maple Ridge, BC",CA,2015,laddan01
Anaheim Ducks,Ryan Getzlaf,28.0,C,"Regina, SK",CA,2014,getzlry01
Boston Bruins,Zdeno Chara,36.0,D,Trencin,CS,2014,charazd01
Buffalo Sabres,Steve Ott,31.0,C,"Summerside, PE",CA,2014,ottst01
Buffalo Sabres,Thomas Vanek,30.0,LW,Vienna,AT,2014,vanekth01
Calgary Flames,Mark Giordano,30.0,D,"Toronto, ON",CA,2014,giordma01
Carolina Hurricanes,Eric Staal,29.0,C,"Thunder Bay, ON",CA,2014,staaler01
Chicago Blackhawks,Jonathan Toews,25.0,C,"Winnipeg, MB",CA,2014,toewsjo01
Colorado Avalanche,Gabriel Landeskog,21.0,LW,Stockholm,SE,2014,landega01
Columbus Blue Jackets,No Captain,,,,,2014,
Dallas Stars,Jamie Benn,24.0,LW,"Victoria, BC",CA,2014,bennja01
Detroit Red Wings,Henrik Zetterberg,33.0,LW,Njurunda,SE,2014,zettehe01
Edmonton Oilers,Andrew Ference,34.0,D,"Edmonton, AB",CA,2014,ferenan01
Florida Panthers,Ed Jovanovski,37.0,D,"Windsor, ON",CA,2014,jovaned01
Los Angeles Kings,Dustin Brown,29.0,RW,"Ithaca, NY",US,2014,browndu01
Minnesota Wild,Mikko Koivu,30.0,C,Turku,FI,2014,koivumi01
Montreal Canadiens,Brian Gionta,35.0,RW,"Rochester, NY",US,2014,giontbr01
Nashville Predators,Shea Weber,28.0,D,"Sicamous, BC",CA,2014,webersh01
New Jersey Devils,Bryce Salvador,37.0,D,"Brandon, MB",CA,2014,salvabr01
New York Islanders,John Tavares,23.0,C,"Mississauga, ON",CA,2014,tavarjo01
New York Rangers,Ryan Callahan,28.0,RW,"Rochester, NY",US,2014,callary01
New York Rangers,No Captain,,,,,2014,
Ottawa Senators,Jason Spezza,30.0,C,"Toronto, ON",CA,2014,spezzja01
