Season,Lg,Player,Age,Tm,Pos,G,A,PTS,+/-,W,L,T/O,GAA,SV%,OPS,DPS,GPS,PS,YR_INT,Award,Description,pid,PIM
2019-20,NHL,Leon Draisaitl,24,EDM,C,43.0,67.0,110.0,-7.0,,,,,,10.9,1.8,0.0,12.8,2020,Hart,Most Valuable Player,draisle01,
2018-19,NHL,Nikita Kucherov,25,TBL,RW,41.0,87.0,128.0,24.0,,,,,,12.3,2.3,0.0,14.6,2019,Hart,Most Valuable Player,kucheni01,
2017-18,NHL,Taylor Hall,26,NJD,LW,39.0,54.0,93.0,14.0,,,,,,9.9,2.3,0.0,12.2,2018,Hart,Most Valuable Player,hallta02,
2016-17,NHL,Connor McDavid,20,EDM,C,30.0,70.0,100.0,27.0,,,,,,9.7,3.0,0.0,12.8,2017,Hart,Most Valuable Player,mcdavco01,
2015-16,NHL,Patrick Kane,27,CHI,RW,46.0,60.0,106.0,17.0,,,,,,12.4,2.6,0.0,15.0,2016,Hart,Most Valuable Player,kanepa01,
2014-15,NHL,Carey Price,27,MTL,G,0.0,1.0,1.0,0.0,44.0,16.0,6.0,1.96,0.9329999999999999,0.0,0.0,16.2,16.2,2015,Hart,Most Valuable Player,priceca01,
2013-14,NHL,Sidney Crosby,26,PIT,C,36.0,68.0,104.0,18.0,,,,,,10.7,2.8,0.0,13.5,2014,Hart,Most Valuable Player,crosbsi01,
2012-13,NHL,Alex Ovechkin,27,WSH,RW,32.0,24.0,56.0,2.0,,,,,,7.0,1.0,0.0,8.0,2013,Hart,Most Valuable Player,ovechal01,
2011-12,NHL,Evgeni Malkin,25,PIT,C,50.0,59.0,109.0,18.0,,,,,,13.4,2.3,0.0,15.7,2012,Hart,Most Valuable Player,malkiev01,
2010-11,NHL,Corey Perry,25,ANA,RW,50.0,48.0,98.0,9.0,,,,,,10.8,2.5,0.0,13.3,2011,Hart,Most Valuable Player,perryco01,
2009-10,NHL,Henrik Sedin,29,VAN,C,29.0,83.0,112.0,35.0,,,,,,10.6,2.9,0.0,13.5,2010,Hart,Most Valuable Player,sedinhe01,
2008-09,NHL,Alex Ovechkin,23,WSH,LW,56.0,54.0,110.0,8.0,,,,,,12.5,2.0,0.0,14.5,2009,Hart,Most Valuable Player,ovechal01,
2007-08,NHL,Alex Ovechkin,22,WSH,LW,65.0,47.0,112.0,28.0,,,,,,14.1,3.1,0.0,17.2,2008,Hart,Most Valuable Player,ovechal01,
2006-07,NHL,Sidney Crosby,19,PIT,C,36.0,84.0,120.0,10.0,,,,,,11.3,2.0,0.0,13.3,2007,Hart,Most Valuable Player,crosbsi01,
2005-06,NHL,Joe Thornton,26,TOT,C,29.0,96.0,125.0,31.0,,,,,,10.2,3.1,0.0,13.3,2006,Hart,Most Valuable Player,thornjo01,
