pid,Player,info
aaltoan01,Antti Aalto,"['Position: C\xa0•\xa0    Shoots: Left\n', '6-1,\xa0210lb\xa0(185cm,\xa095kg) ', ' Born:  March 4,\xa01975   in\xa0Lappeenranta,\xa0Finland  fi ', 'Draft: Anaheim, 6th round (134th\xa0overall), 1993\xa0NHL\xa0Entry ']"
aaltoju01,Juhamatti Aaltonen,"['Position: RW\n', ' Born:  June 4,\xa01985   ', 'Draft: St. Louis, 9th round (284th\xa0overall), 2003\xa0NHL\xa0Entry ']"
aaltole01,Leevi Aaltonen,"['Position: RW\xa0•\xa0    Shoots: Left\n', '5-8,\xa0177lb\xa0(173cm,\xa080kg) ', ' Born:  January 24,\xa02001   in\xa0Mikkeli,\xa0Finland  fi ', 'Draft: NY Rangers, 5th round (130th\xa0overall), 2019\xa0NHL\xa0Entry ']"
aaltomi01,Miro Aaltonen,"['Position: C\xa0•\xa0    Shoots: Left\n', '6-0,\xa0176lb\xa0(183cm,\xa079kg) ', ' Born:  June 7,\xa01993   in\xa0Joensuu,\xa0Finland  fi ', 'Draft: Anaheim, 6th round (177th\xa0overall), 2013\xa0NHL\xa0Entry ', 'Pronunciation: \\MEE-roh AHL-toh-nuhn\\']"
abbeybr01,Bruce Abbey,"['Position: D\xa0•\xa0    Shoots: Left\n', '6-1,\xa0185lb\xa0(185cm,\xa083kg) ', ' Born:  August 18,\xa01951   in\xa0Toronto,\xa0Ontario  ca ', 'Amateur Teams: Michigan\xa0Tech, Peterborough\xa0Petes ']"
abbotge01,George Abbott,"['Position: G\xa0•\xa0    Catches: Left\n', '5-7,\xa0153lb\xa0(170cm,\xa069kg) ', ' Born:  August 3,\xa01911   in\xa0Sydenham,\xa0Ontario  ca ']"
abbotre01,Reg Abbott,"['Position: C\xa0•\xa0    Shoots: Left\n', '5-11,\xa0164lb\xa0(180cm,\xa074kg) ', ' Born:  February 4,\xa01930   in\xa0Winnipeg,\xa0Manitoba  ca ']"
abbotsp01,Spencer Abbott,"['Position: LW\xa0•\xa0    Shoots: Right\n', '5-9,\xa0170lb\xa0(175cm,\xa077kg) ', ' Born:  April 30,\xa01988   in\xa0Hamilton,\xa0Ontario  ca ', 'Amateur Teams: Maine ', 'Pronunciation: \\SPEHN-suhr A-buht\\']"
abdelju01,Justin Abdelkader,"['Position: LW\xa0•\xa0    Shoots: Left\n', '6-2,\xa0213lb\xa0(188cm,\xa096kg) ', ' Born:  February 25,\xa01987   in\xa0Muskegon,\xa0Michigan  us ', 'Draft: Detroit, 2nd round (42nd\xa0overall), 2005\xa0NHL\xa0Entry ', 'Amateur Teams: Michigan\xa0State ', 'Pronunciation: \\JUHS-tihn abdehl-KAY-duhr\\', 'Twitter:\n@justinabss']"
abelcl01,Clarence Abel,"['Position: D\xa0•\xa0    Shoots: Left\n', '6-1,\xa0225lb\xa0(185cm,\xa0102kg) ', ' Born:  May 28,\xa01900   in\xa0Sault\xa0Ste.\xa0Marie,\xa0Michigan  us ', 'Died: August\xa01,\xa01964  ']"
abelge01,Gerry Abel,"['Position: LW\xa0•\xa0    Shoots: Left\n', '6-2,\xa0168lb\xa0(188cm,\xa076kg) ', ' Born:  December 25,\xa01944   in\xa0Detroit,\xa0Michigan  us ', 'Amateur Teams: Hamilton\xa0Red\xa0Wings ', 'Relatives: Father\xa0Sid\xa0Abel ']"
abelsi01,Sid Abel,"['Position: C/LW\xa0•\xa0    Shoots: Left\n', '5-11,\xa0170lb\xa0(180cm,\xa077kg) ', ' Born:  February 22,\xa01918   in\xa0Melville,\xa0Saskatchewan  ca ', 'Died: February\xa07,\xa02000  ', 'Hall of Fame: Inducted as Player\xa01969 (Full\xa0List)', 'As Coach: 16\xa0Yrs, 382‑427‑155,\xa0919\xa0Pts. (Full\xa0Record) ', 'Relatives: Grandson\xa0Brent\xa0Johnson; Son\xa0Gerry\xa0Abel ']"
abeltko01,Konrad Abeltshauser,"['Position: D\n', '6-5,\xa0225lb\xa0(196cm,\xa0102kg) ', ' Born:  September 2,\xa01992   ', 'Draft: San Jose, 6th round (163rd\xa0overall), 2010\xa0NHL\xa0Entry ', 'Pronunciation: \\KAWN-rad ah-behlts-HAHW-zuhr\\']"
abergpo01,Pontus Aberg,"['Position: LW\xa0•\xa0    Shoots: Right\n', '5-11,\xa0196lb\xa0(180cm,\xa088kg) ', ' Born:  September 23,\xa01993   in\xa0Stockholm,\xa0Sweden  se ', 'Draft: Nashville, 2nd round (37th\xa0overall), 2012\xa0NHL\xa0Entry ', 'Pronunciation: \\PAWN-tuhs AW-buhrg\\']"
